scorer,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000,DLC_resnet50_mecp2-locomotionMay22shuffle1_1030000
bodyparts,left-paw,left-paw,left-paw,left-elbow,left-elbow,left-elbow,right-paw,right-paw,right-paw,right-elbow,right-elbow,right-elbow,chest,chest,chest
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
62,360.9727783203125,232.81158447265625,1.0,398.5017395019531,204.92562866210938,1.0,213.79409790039062,229.1450958251953,1.0,264.6933898925781,216.12667846679688,1.0,248.1525421142578,180.0795440673828,1.0
63,361.63287353515625,233.0947723388672,0.9999998807907104,398.972900390625,204.9568634033203,1.0,214.3978271484375,228.6869354248047,1.0,263.9788513183594,215.34523010253906,1.0,247.47705078125,180.50083923339844,1.0
64,361.7677307128906,232.3069305419922,1.0,398.8083190917969,204.49838256835938,1.0,212.92002868652344,229.00990295410156,1.0,264.8446960449219,216.1397247314453,0.9999997615814209,249.04298400878906,178.5857696533203,1.0
65,361.7104797363281,233.0891571044922,0.9999998807907104,399.02508544921875,205.0299072265625,1.0,213.93690490722656,228.7107391357422,1.0,264.5208740234375,216.28585815429688,1.0,247.86729431152344,180.2538604736328,1.0
66,362.8814392089844,233.04592895507812,0.9999998807907104,399.34979248046875,205.58856201171875,1.0,214.71990966796875,228.73817443847656,1.0,265.1419982910156,215.48751831054688,0.9999998807907104,247.71820068359375,180.19268798828125,1.0
67,361.99591064453125,232.60723876953125,1.0,399.22076416015625,204.9646453857422,1.0,213.7506866455078,228.84552001953125,1.0,264.60357666015625,215.3143310546875,1.0,247.81422424316406,179.3473358154297,1.0
68,361.3743591308594,233.09555053710938,0.9999998807907104,399.3397521972656,205.4903564453125,1.0,213.03086853027344,228.8995361328125,1.0,265.0222473144531,216.127685546875,1.0,247.67709350585938,180.1497039794922,1.0
69,360.920654296875,232.733642578125,1.0,399.122802734375,205.0618133544922,1.0,214.38865661621094,228.91502380371094,1.0,264.5054016113281,216.50343322753906,1.0,249.2171630859375,179.5617218017578,1.0
70,361.9599914550781,233.09561157226562,0.9999995231628418,399.27301025390625,204.97984313964844,1.0,214.21133422851562,228.6549530029297,1.0,265.1658020019531,215.03477478027344,0.9999996423721313,248.33065795898438,179.75331115722656,1.0
71,361.8847961425781,232.99583435058594,0.9999996423721313,399.15765380859375,205.45938110351562,1.0,213.1521453857422,228.68638610839844,1.0,264.7418518066406,215.93438720703125,1.0,247.29547119140625,180.70046997070312,1.0
72,360.71759033203125,232.564208984375,0.9999997615814209,399.1380310058594,204.99627685546875,1.0,214.6506805419922,228.82008361816406,1.0,263.8871154785156,216.25509643554688,0.9999998807907104,249.1793975830078,180.02841186523438,1.0
73,362.58599853515625,232.84478759765625,1.0,399.49566650390625,205.4033203125,1.0,214.65625,228.60635375976562,1.0,265.0587158203125,215.13577270507812,0.9999996423721313,247.1436309814453,179.65469360351562,1.0
74,362.26666259765625,232.78489685058594,0.9999996423721313,399.528564453125,205.76702880859375,1.0,213.99609375,228.50730895996094,1.0,264.4073181152344,215.9271697998047,1.0,246.98419189453125,180.9560546875,1.0
75,361.64483642578125,233.03097534179688,0.9999995231628418,399.3726501464844,205.2401580810547,1.0,214.88018798828125,228.8358917236328,1.0,265.05096435546875,215.9886932373047,1.0,248.8351593017578,180.1646270751953,1.0
76,362.6613464355469,232.3037567138672,0.9999992847442627,399.654052734375,205.54702758789062,1.0,214.87034606933594,228.6583709716797,1.0,265.2499084472656,214.6275634765625,0.9999980926513672,247.3103485107422,179.71597290039062,1.0
77,361.74139404296875,232.02589416503906,0.9999945163726807,399.8612976074219,205.49464416503906,1.0,214.2256317138672,228.5726318359375,1.0,263.3971862792969,216.23374938964844,1.0,246.9390411376953,180.2241668701172,1.0
78,362.5964660644531,232.89508056640625,0.9999997615814209,399.58087158203125,205.3943328857422,1.0,214.74761962890625,228.60374450683594,1.0,264.60760498046875,215.873046875,1.0,247.45904541015625,180.1680145263672,1.0
79,372.60809326171875,231.31556701660156,1.0,405.36553955078125,208.92164611816406,1.0,209.534423828125,227.71017456054688,1.0,265.6020812988281,212.14739990234375,1.0,254.98318481445312,174.40951538085938,1.0
80,366.3254089355469,233.04559326171875,1.0,399.87188720703125,204.62989807128906,1.0,211.8302764892578,227.7449951171875,1.0,260.6910400390625,215.54197692871094,1.0,247.36434936523438,177.41062927246094,1.0
81,364.3880920410156,232.63783264160156,1.0,398.51556396484375,204.9347381591797,1.0,212.31491088867188,228.2259063720703,1.0,259.9236755371094,216.49696350097656,1.0,245.6781463623047,178.578857421875,1.0
82,363.57525634765625,233.01658630371094,1.0,398.4130859375,205.41566467285156,1.0,212.86904907226562,228.91354370117188,1.0,263.487548828125,216.66827392578125,1.0,245.79721069335938,178.19882202148438,1.0
83,361.8676452636719,233.6355438232422,1.0,397.6555480957031,205.6597442626953,1.0,211.30545043945312,228.9447784423828,1.0,260.9418640136719,218.2185516357422,1.0,244.7934112548828,178.21066284179688,1.0
84,362.4220886230469,233.1715087890625,1.0,398.01715087890625,205.64773559570312,1.0,212.33575439453125,229.2811279296875,1.0,261.679931640625,217.4604034423828,1.0,243.28985595703125,178.32591247558594,1.0
85,362.4121398925781,233.07977294921875,0.9999998807907104,398.7825622558594,205.7501983642578,1.0,213.07366943359375,229.23614501953125,1.0,262.92425537109375,216.7248992919922,0.9999998807907104,245.31857299804688,179.00619506835938,1.0
86,363.32025146484375,233.17413330078125,0.9999998807907104,398.86260986328125,205.98114013671875,1.0,213.8807830810547,229.00973510742188,1.0,261.3638916015625,217.4151611328125,1.0,245.67178344726562,179.76205444335938,1.0
87,363.4403991699219,233.44061279296875,0.9999998807907104,398.9831848144531,205.40931701660156,1.0,212.7939910888672,228.8518524169922,1.0,260.9201965332031,217.14251708984375,1.0,245.1020050048828,179.6473388671875,1.0
88,364.5394592285156,232.81446838378906,0.9999997615814209,399.32757568359375,205.13824462890625,1.0,213.15396118164062,229.45382690429688,1.0,262.8283386230469,216.4819793701172,0.9999983310699463,246.56234741210938,179.0124969482422,1.0
89,363.4447021484375,233.39321899414062,0.9999998807907104,398.9924621582031,206.0248565673828,1.0,214.48074340820312,229.19921875,1.0,261.4721984863281,217.6781768798828,1.0,245.52838134765625,179.40841674804688,1.0
90,362.7535400390625,232.2142791748047,0.9999991655349731,399.7119140625,205.15724182128906,1.0,213.11778259277344,228.9931182861328,1.0,262.6212158203125,218.14422607421875,1.0,246.82177734375,179.1145782470703,1.0
